あ、ぐうぅっ！　ご、ご主人様、そこだめ……ダメですっ……！　い、痛すぎて……は、あっ……強いのダメですっ……！　は、ぁぁ……	啊，嗯！哦，主人，那边不行……不行啊……！不，太疼了……啊、啊……不能坚强……！哈，啊……
く、うぅぅ……お願いします、からぁっ……痛くしないでください……！　は、あっ……なんでも、なんでもしますからっ……ん、ひゃ、ぅぅっ！	嗯，嗯……拜托了，所以啊……请不要痛……！啊、啊……因为什么都做……嗯，是啊，嗯！
あ、くっ……い、痛いです、ご主人様っ……わ、私にひどいこと、したいんですか……？　ううぅ……手加減、してくださいね……は、ああっ……！	啊，唔……不，很痛，主人……哇，你想对我做过分的事吗……？呜呜……请手下留情啊……啊、啊……！
あ、ぐうっぅ……！　ひ、ひぐっ……ごしゅ、ご主人様っ……さ、さすがに痛くて……んんぅ！　や、待ってっ……あ、あっ、ご、ごめんなさいぃっ……ゆ、許して……！	啊，呼呼……！一、一……主人，您……啊，果然疼啊……嗯！等一下……啊，啊，对，对不起……原谅我……！
く、うぅう……！　もう、わ、私おかしくなっちゃっ……！　ん、くうぅ！　痺れちゃって、はぁぁっ……んぅ、ひりひり熱くてえっ……ん、ひゃ、あぐうぅ！	嗯，呜……！真是的，我变得奇怪了……！嗯，嗯！麻痹了，啊啊啊……嗯，火辣辣的好烫啊……嗯，是啊，是啊！
ひゃ、うぐっ……！　ん、ん！　ご主人様っ……そ、そこ敏感でっ……ひぅっ、ああっ……や、つねっちゃっ……くぅぅ！　あ、あんっ……刺激、強すぎちゃうっ……	哎呀，呜哇……！嗯，嗯！主人……对、那里很敏感……嗯，啊……呀，拧了……嗯！啊，嗯……刺激、太强了……
んぅ、はっ……くぅ、わ、私動けないんですよ……？　ん、んぅっ！　だ、だからって……そんなお仕置き、ひどいですっ……んぅ、ひゃっ……ダメぇっ……もう強くしないで、くれませんかぁ……？	嗯，哈……我、我、我动不了……？嗯，嗯！所以……那样的惩罚，太过分了……嗯，哎呀……不行啊……不能再逞强了吗……？
ん、ひゃうっ……！　あ、あっ、ちがっ……気持ちいいわけじゃっ……はぁ、あっん！　乱暴にされて、こんなぁっ……！　んぅ、はぁ、あっん、ああっん！	哎、哎呀……！啊，啊，不对……心情很好啊……啊，啊！被粗暴对待，这样啊……！嗯，哈，啊，啊！
ひゅ、ぅっ！　ん、ぁぁっ！　ダメっ、もうご主人様、私……限界でっ、んぅぅ、はぁっ！　い、苛められて感じちゃっ、んぅっ、気持ちっ、なっひゃっ！	嗯，嗯！嗯，啊！不行，主人，我……界限什么的，嗯，啊！嗯，感觉被欺负了，嗯，心情，是啊！
ん、ひっ……くぅ、んっ……それ、ダメですよぉ、ご主人様ぁ……んぅ、痛いのに、ひりひりして、おまんこ濡れちゃうっ……んぅ、あんっ……	嗯，嗯……唔，嗯……那可不行啊，主人……嗯，明明很痛，却火辣辣的，把小穴弄湿了……嗯，嗯……
も、もぉっ……ご主人様が変なこといっぱいするから……私の身体、こんな風になっちゃったんですよ……？　苛められて、お仕置きされて、感じちゃってっ……ひゃ、はぁっん！	也、已经……主人会做很多奇怪的事情……我的身体变成这样了……？被欺负，被惩罚，感觉到了……哎呀，哈哈！
ん、んぅっ！　最後まで、してくださいっ、ご主人様ぁっ！　クリトリス、いっぱい苛めて、あ、あっ！　壊していいですからぁっ、イかせてぇぇっ！	嗯，嗯！请做到最后，主人啊！克利特里斯，欺负了我很多，啊，啊！可以弄坏啊，让我来！
