ブロマイド	溴化物
凜デレ＿恋人イベント２	可靠_恋人事件2
凜デレ＿恋人イベント３	可靠_恋人事件3
凜デレ＿恋人イベント４	可靠_恋人事件4
凜デレ＿恋人イベント５	可靠_恋人事件5
『クラブルート前半VSライブ』再戦	『俱乐部前半路线VS LIVE』再挑战
『レストランルート前半VSライブ』再戦	『餐厅前半路线VS LIVE』再挑战
『アイドルルート前半VSライブ』再戦	『偶像前半路线VS LIVE』再挑战
『クラブルート後半VSライブ』再戦	『俱乐部后半路线VS LIVE』再挑战
『レストランルート後半VSライブ』再戦	『餐厅后半路线VS LIVE』再挑战
『アイドルルート後半VSライブ』再戦	『偶像后半路线VS LIVE』再挑战
夢の続き	梦想的延续
居心地の良い場所	令人心安的场所
ご奉仕大好きメイドと会話１回目	和最喜欢服务的女仆对话第1次
ご奉仕大好きメイドと会話２回目	和最喜欢服务的女仆对话第2次
ご奉仕大好きメイドと会話３回目	和最喜欢服务的女仆对话第3次
ご奉仕大好きメイドと会話４回目	和最喜欢服务的女仆对话第4次
ご奉仕大好きメイドと会話５回目	和最喜欢服务的女仆对话第5次
ご奉仕大好きメイドとの関係進展１	与非常喜欢服务的女仆的关系进展1
ご奉仕大好きメイドとの関係進展２	与非常喜欢服务的女仆的关系进展2
ご奉仕大好きメイドとの関係進展３	与非常喜欢服务的女仆的关系进展3
握力強めなぽっちゃりメイドと会話１回目	第1次和握力强的丰满女仆对话
握力強めなぽっちゃりメイドと会話２回目	第2次和握力强的丰满女仆对话
握力強めなぽっちゃりメイドと会話３回目	第3次和握力强的丰满女仆对话
握力強めなぽっちゃりメイドと会話４回目	第4次和握力强的丰满女仆对话
握力強めなぽっちゃりメイドと会話５回目	第5次和握力强的丰满女仆对话
握力強めなぽっちゃりメイドとの関係進展１	与握力强的丰满女仆的关系进展1
握力強めなぽっちゃりメイドとの関係進展２	与握力强的丰满女仆的关系进展2
握力強めなぽっちゃりメイドとの関係進展３	和握力强的丰满女仆的关系进展3
ハカセメイドと会話１回目	第1次和伪女仆对话
ハカセメイドと会話２回目	第2次和伪女仆对话
ハカセメイドと会話３回目	第3次和伪女仆对话
ハカセメイドと会話４回目	第4次和伪女仆对话
ハカセメイドと会話５回目	第5次和伪女仆对话
ハカセメイドとの関係進展１	和伪女仆的关系进展1
ハカセメイドとの関係進展２	和伪女仆的关系进展2
ハカセメイドとの関係進展３	和伪女仆的关系进展3
ハイテンションメイドと会話１回目	和兴奋的女仆对话第1次
ハイテンションメイドと会話２回目	和兴奋的女仆对话第2次
ハイテンションメイドと会話３回目	和兴奋的女仆对话第3次
ハイテンションメイドと会話４回目	和兴奋的女仆对话第4次
ハイテンションメイドと会話５回目	和兴奋的女仆对话第5次
ハイテンションメイドとの関係進展１	与兴奋女仆的关系进展1
ハイテンションメイドとの関係進展２	与兴奋女仆的关系进展2
ハイテンションメイドとの関係進展３	与兴奋女仆的关系进展3
王子様系メイドと会話１回目	第1次和王子系女仆对话
王子様系メイドと会話２回目	第2次和王子系女仆对话
王子様系メイドと会話３回目	第3次和王子系女仆对话
王子様系メイドと会話４回目	第4次和王子系女仆对话
王子様系メイドと会話５回目	第5次和王子系女仆对话
王子様系メイドとの関係進展１	与王子系女仆的关系进展1
王子様系メイドとの関係進展２	与王子系女仆的关系进展2
王子様系メイドとの関係進展３	与王子系女仆的关系进展3
エキゾチック褐色美少女メイドと会話１回目	与异国情调褐色美少女女仆对话第1次
エキゾチック褐色美少女メイドと会話２回目	与异国情调褐色美少女女仆对话第2次
エキゾチック褐色美少女メイドと会話３回目	与异国情调褐色美少女女仆对话第3次
エキゾチック褐色美少女メイドと会話４回目	与异国情调褐色美少女女仆对话第4次
エキゾチック褐色美少女メイドと会話５回目	与异国情调褐色美少女女仆对话第5次
エキゾチック褐色美少女メイドとの関係進展１	与异国情调褐色美少女女仆的关系进展1
エキゾチック褐色美少女メイドとの関係進展２	与异国情调褐色美少女女仆的关系进展2
エキゾチック褐色美少女メイドとの関係進展３	与异国情调褐色美少女女仆的关系进展3
クラブルート前半１	俱乐部前半部分1
クラブルート前半２	俱乐部前半部分2
クラブルート前半３	俱乐部前半部分3
クラブルート前半４	俱乐部前半部分4
クラブルート前半５	俱乐部前半部分5
クラブルート前半６	俱乐部前半部分6
クラブルート前半７	俱乐部前半部分7
レストランルート前半１	餐厅路线前半部分1
レストランルート前半２	餐厅路线前半部分2
レストランルート前半３	餐厅路线前半部分3
レストランルート前半４	餐厅路线前半部分4
レストランルート	餐厅路线
『料理の腕をチェック１』	“检查烹饪技术1”
レストランルート前半５	餐厅路线前五
レストランルート前半６	餐厅路线前半部分6
レストランルート前半７	餐厅前半部分7
クラブルート後半１	俱乐部路线后半1
クラブルート後半２	俱乐部后半2
クラブルート後半３	俱乐部后半3
クラブルート後半４	俱乐部后半4
クラブルート後半５	俱乐部后半5
クラブルート後半６	俱乐部后半6
レストランルート後半１	餐厅路线后半1
レストランルート後半２	餐厅路线后半2
レストランルート後半３	餐厅路线后半3
レストランルート後半４	餐厅路线后半4
『料理の腕をチェック２』	《检查烹饪技术2》
レストランルート後半５	餐厅路线后半5
レストランルート後半６	餐厅路线后半6
義文、再訪……	义文、再访……
秀一、再訪……	秀一、再访……
勝、再訪……	胜、再访……
経営方針変更	变更经营方针
ダンスショー開催告知表示ON/OFF	舞蹈表演举办通知显示ON/OFF
警戒状態イベント回想登録	登录警戒状态事件回想
まだちょっと緊張	似乎仍有些紧张
クッキーの架け橋	饼干架起的桥梁
スペシャルケーキ	特别的蛋糕
お姫様抱っこ	公主抱
永遠を誓う	永远的誓言
帝国系ラーメン！	帝国系拉面！
可愛過ぎ第六天魔王	可爱到爆的第六天魔王
ばぶばぶモード	小贝比模式
にゃんにゃんクライシス	喵喵大危机
ずっと続くしあわせ	一直下去的幸福
途切れる会話	简洁的对话
僅かな笑顔	罕见的微笑
えろぱんてぃ～	色色的内裤～
渡し損ねたプレゼント	送不出去的礼物
全力で、お傍に。	全力待在你身边。
真面目にノロケる	认真闪瞎每个人
突然の仕事にも	就算是突如其来的工作
目指せメイド秘書	目标是秘书女仆
不安な夜も、二人なら。	即使是不安的夜晚，只要有你在。
最高の恋人	最棒的恋人
毒か砂糖か毒砂糖	是毒？是糖？是毒糖？
冒頭陳述	朗读案由
被告人質問	人别讯问
最終弁論	最终辩论
雪解けの噴水の前で	雪融的喷水池前
凛とした乙女の君	凛然又少女的妳
判決言渡し	宣告判决
ドラマティックな朝にしたい	戏剧化的晨间时分
特製ダイエットメニュー	特制减肥菜单
ゲエムの夜	彻夜打电动
ぐったりシネマパラダイス	懒洋洋剧院天国
どんな水着がい～い？	你觉得哪件好呢～？
エンパイアクラブデート！	帝国俱乐部约会！
贈りたいもの	想要送你的东西
散々なデートでも	就算是这种约会
なんでもふたつ	不论什么都买两份
嫁イド鑑定団・名刀/立て掛け・青	新娘鉴定团・名刀/竖架・青
嫁イド鑑定団・名刀/立て掛け・赤	新娘鉴定团・名刀/竖架・红
嫁イド鑑定団・名刀/立て掛け・黒	新娘鉴定团・名刀/竖架・黑
嫁イド鑑定団・名刀/立て掛け・茶	新娘鉴定团・名刀/壁挂・茶
嫁イド鑑定団・名刀/立て掛け・白	新娘鉴定团・名刀/竖架・白
【GP-02】プロポーズ＿無口	【GP-02】求婚_沉默寡言
良い掛け軸	好挂轴
可愛いのは服よりも……	比起衣服更可爱……
イメージって難しい	印象很难
キュートな魔導師様	可爱的魔导师
アンドロイドなメイド	机器人女仆
止まらない可愛さ	止不住的可爱
カワイイは難しい	可爱很难
エロ過ぎる魔法使い	太过色情的魔法使
強い奴は黒に決まってる	坚强的人肯定是黑色的
たまには違うお洒落を	偶尔穿上不同的打扮
お洒落の裏には努力がある	打扮的背后有努力
イメージは大切	形象很重要
ファンタジーのリアリティ問題	幻想的现实问题
無垢純愛5	单纯纯爱5
真面目純愛5	认真纯爱5
凜デレ純愛5	可靠纯爱5
ゲレンデ	滑雪山庄
にくまん	肉包子
蒸籠にくまん	蒸笼包子
スノーボード・青	滑雪板・青
スノーボード・緑	滑雪板・緑
スノーボード・赤	滑雪板・赤
スノーボード・黄	滑雪板・黄
雪だるま・青	雪人・青
雪だるま・緑	雪人・青
雪だるま・赤	雪人・赤
雪だるま・黄	雪人・黄
雪玉の山	雪山
雪くま親分	雪熊头子
シーズンパック・前編	季节包・前篇
シーズンパック・中編	季节包・中篇
シーズンパック・後編	季节包・后篇
ゲレンデ経営チェック～前編～	滑雪场经营事件～前篇～
ゲレンデ経営チェック～後編～	滑雪场经营事件～后篇～
たまにはこうして	偶尔也想象这样
ちょっとＳなのがいいの？	稍微Ｓ点也可以吗？
言いなり記念日	百依百顺纪念日
抱いて、上書きして	抱住我、盖掉那些感觉吧
オレ好みのオンナに	合老子口味的女人
私の男漁り♪	来钓男人吧♪
全てはオレのもの	妳是老子的东西了
欲望の果てに……	欲望的尽头
カラオケ＿背景	卡拉OK背景
開始時	开始时
開始の挨拶	开始问候
楽曲終了時	乐曲结束时
歌唱終了後	演唱结束后
フライドポテト	炸土豆
フライドポテト注文	点薯条
食べ物注文	点菜
前回の料理	上次的菜
オムライス	蛋包饭
オムライス注文	点蛋包饭
パフェ	巴菲
パフェ注文	冻糕订货
コーヒー	咖啡
コーヒー注文	点咖啡
飲み物注文	点饮料
メロンソーダ	甜瓜苏打水
メロンソーダ注文	点甜瓜苏打
ビール	啤酒
ビール注文	点啤酒
プレッツェル	椒盐卷饼
プレッツェル注文	点椒盐卷饼
かき氷	刨冰
かき氷注文	刨冰订货
スムージー	平滑
スムージー注文	平滑订货
マティーニ	马蒂尼
カクテル１注文	点一杯鸡尾酒
マタドール	马塔多尔
カクテル２注文	点两杯鸡尾酒
スカイブルー	天蓝色
カクテル３注文	点三杯鸡尾酒
マイク交換	麦克风交换
カラオケメイド追加	卡拉OK女仆追加
イチャラブゲーム	亲热游戏
はぴぱぴ	哈哈
佐咲紗花	佐咲纱花
美郷あき	美乡秋
りずみくす	理直气壮
すてらまいてぃあーず	请不要随便坐
ないとまじっくふぁいあ	没有的话就不客气
あやね	妖怪
なかえ	朋友
ぶりーみん	武士
あいじょうでりしゃす	爱出风头
るみなす	成块
めろでい	眼色
さくらうららか	樱花烂漫
母性的なお姉ちゃんメイドを	母性的姐姐女仆
大切な恋人として迎え入れる。	作为重要的恋人迎入。
お姉ちゃんメインストーリー１	姐姐主要故事1
お姉ちゃんメインストーリー２	姐姐主要故事2
お姉ちゃんメインストーリー３	姐姐主要故事3
お姉ちゃんメインストーリー４	姐姐主要故事4
お姉ちゃんメインストーリー５	姐姐主要故事5
お近づき→信頼	亲密→信赖
信頼→恋人	信赖→恋人
お嬢様純愛１	小姐纯爱1
お嬢様純愛２	小姐纯爱2
お嬢様純愛３	小姐纯爱3
お嬢様純愛４	小姐纯爱4
お嬢様NTR１	大小姐NTR 1
お嬢様NTR２	大小姐NTR 2
お嬢様NTR３	大小姐NTR 3
お嬢様NTR４	大小姐NTR 4
春の庭園	春樱庭园
春の庭園_屋台無し	春天的庭院没有小摊
チョコバナナ	巧克力香蕉
イカ焼き	烤鱿鱼
リンゴ飴	苹果糖
水風船_黄	水气球_黄
水風船_青	水气球_青
水風船_橙	水气球_橙
水風船_桃	水气球_桃
祭うちわ_赤	节日团扇_赤
祭うちわ_青	节日团扇_青
クレープ屋台	可丽饼摊子
クレープ屋台_夜	薄饼摊子_晚上
ゴザ_夜	哥萨夜
くじ引き屋台	抽签摊子
くじ引き屋台_夜	抽签摊子_晚上
ポテトフライ屋台	炸土豆摊子
ポテトフライ屋台_夜	炸土豆摊子_晚上
りんごあめ屋台	糖衣铺
りんごあめ屋台_夜	苹果糖铺台_晚上
射的屋台	射击摊摊子
射的屋台_夜	射击摊子_夜晚
たこ焼き屋台	章鱼烧店
たこ焼き屋台_夜	章鱼烧店_晚上
焼きそば屋台	炒面摊子
焼きそば屋台_夜	炒面摊_晚上
シーズンパック春・前編	季节包.春季・前篇
シーズンパック春・中編	季节包.春季・中篇
シーズンパック春・後編	季节包.春季・后篇
春の庭園満喫チェック～前編～	春樱庭园满足评定～前篇～
春の庭園満喫チェック～後編～	春樱庭园满足评定～后篇～
水族館	水族馆
水族館-椅子無し	水族馆-没有椅子
水族館の椅子(大)	水族馆的椅子（大）
水族館の椅子(小)	水族馆的椅子（小）
水族館＿ハーレムHイベント	水族馆后宫H事件
水族館＿水族館Hイベント	水族馆H事件
水族館＿無垢１	水族馆单纯1
水族館＿無垢２	水族馆单纯2
水族館＿真面目１	水族馆认真1
水族館＿真面目２	水族馆认真2
水族館＿凜デレ１	水族馆可靠1
水族館＿凜デレ２	水族馆可靠2
水族館＿小悪魔１	水族馆小恶魔1
水族館＿小悪魔２	水族馆小恶魔2
【NPC小悪魔】	【NPC小恶魔】
水族館＿小悪魔Hイベント	水族馆小恶魔H事件
小悪魔追加純愛１	小恶魔追加纯爱1
小悪魔追加純愛２	小恶魔追加纯爱2
小悪魔追加純愛３	小恶魔追加纯爱3
小悪魔追加純愛４	小恶魔追加纯爱4
小悪魔追加NTR１	小恶魔追加
小悪魔追加NTR２	小恶魔追加
小悪魔追加NTR３	小恶魔追加
小悪魔追加NTR４	小恶魔追加
ジャスト時間　秒.小数（割合）	整小时秒
小エフェクト	小效果
【GP-02】プロポーズ＿ヤンデレ	【GP-02】向病娇求婚
サキュバス夜這いエッチ	魅魔的夜袭
トイレ介護ご奉仕	看护侍奉
ヤキモチソーププレイ	醋劲大发的浴室Play
らぶらぶ問い詰めエッチ	又酸又甜的问罪Ｈ
脱衣ダンス乱交プレイ	脱衣舞乱交派对
お客様とのセックス報告プレイ	接客后的报告PLAY
目隠しムリヤリスワップセックス	无法隐藏眼睛的交换性
媚薬NTRプレイ	春药NTR游戏
プライドが高く負けず嫌いなメイド	自尊心很强的傲娇女仆
３人グループに加入させる	加入三人组
クールで大人びたメイド	又酷又成熟的女仆
純真で健気な妹系メイド	纯真勇敢的妹妹系女仆
ただいま	我回来了
負けてられない	我不会输给妳！
ツン&クール	傲娇女孩与冰山美人
隣で踊るの	共舞的伙伴
達成、到達、そして焼肉	功德圆满、接着就是顿烧烤大餐
メイド秘書を目指して	以女仆秘书为目标
ご主人様、いる？	主人，在吗？
……ちゃんとメイクしたのに、台無しね	……难得妆都化好了，这下可白画了呢
きらきらした舞台	闪耀舞台
わたしのやりたいこと	想达成之事
純真無垢	纯真无垢
わたしがほしいもの	所冀求之物
本当にいいの？	这样真的无所谓吗？
おかえり	欢迎回家
IF-他の男とイチャラブ　前半	IF - 与别的男人卿卿我我　前半
IF-他の男とイチャラブ　後半	IF - 与别的男人卿卿我我　后半
IF-他の男に仕込まれて	IF - 被别的男人给占有
IF-全てを奪われた恋人	IF - 身心皆被夺走的恋人
ボクっ娘新規→移籍	新娘→移籍
待ちに待った再会	引颈期盼的再会
ファーストファイト	第一次冲击
デッド・オア・アンダーウェア	Dead or Underwear
アイドルスピリッツ	偶像魂
マヨナカのエンパイアクラブ	夜深人静的帝国俱乐部
健康的でスポーティな	健康运动
ボクっ娘メイドを	喜娘女仆
大切な恋人として迎え入れる	作为重要的恋人迎入
進展：女の子ってどんなもの？	进展：所谓的女生是怎样子的？
告白：走って、追いかけてきて	告白：你追、我跑
日本家屋	日本房屋
ビニールプール	塑料游泳池
ビニールプール・水入り	塑料游泳池
焼いたサンマ	烤秋刀鱼
焼いたトウモロコシ	烤玉米
冥王弾・青	冥王弹・青
冥王弾・緑	冥王弹・绿
冥王弾・紫	冥王弹・紫
冥王弾・赤	冥王弹・赤
カットスイカ	鱿鱼块
ラムネ	柠檬水
汗、滴る暑い日に	香汗淋漓的猛暑之日
サマータイム・コスプレサービス	盛夏扮装会
田舎の夏休み	乡间的暑假
満天の星の下で	在繁星之下
たまにはグータラして	偷得浮生半日闲
まるで夫婦みたいに	宛若夫妇
二人で収穫だ！	一起帮忙收割吧！
情けは人のためならず	好人有好报
変わらない彼女	到哪儿都不变的她
ある意味風物詩	某种意义上的风情画
【NPC文学少女】変わらない彼女	【NPC文学少女】不变的她
【NPC文学少女】ある意味風物詩	【NPC文学少女】某种意义上是风物诗
【NPC文学少女】サマータイム・コスプレサービス	【NPC文学少女】盛夏扮装会
スティックポスター・無愛想	棒状海报・冷淡性格
【姉】新規雇用メイドを移籍メイド扱いへ変化させる	【姐姐】将新雇佣的女仆变成移籍女仆
良いツボ	好的穴位
真面目NTR６	认真NTR 6
凜デレNTR６	可靠NTR 6
キュロちゃん	小居罗
メインシナリオ	主方案
さくらんぼの味？	口中的味道是樱桃味？
責めたい？責められたい？	是攻？是受？
小悪魔NTR1	小恶魔NTR 1
小悪魔NTR2	小恶魔NTR 2
小悪魔NTR3	小恶魔NTR 3
小悪魔NTR4	小恶魔NTR 4
小悪魔少女のお悩み相談	小恶魔少女的烦恼谘商
絶対、落としてやりますから！	绝对会打倒你的啦！
猫の手が来た	猫手来了
彼女は魔法使い	她是个小魔法师
ガラス越しの君	玻璃对面的妳
『かわいい女の子』	『可爱的女生』
付き合ってる？	这样叫交往吗？
契約の印？	契约的印记？
デート！	约会！
予感：リベンジ	预感：反击
お悩み相談：リベンジ	烦恼谘商：反击
天然サディスティックな小悪魔メイドを	天然的小恶魔女仆
集中して育てることに決める	决定集中培育
無垢なセンパイのアドバイス	无邪的学姊那儿得来的建议
凛としたかっこいいセンパイのアドバイス	凛然的学姊那儿得来的建议
真面目なセンパイへのアタック	对班长出击
最後のひと押し	最后的临门一脚
藪脇 洋という男	名为薮脇洋的男人
アダルトショップ	成人商店
SSIコラボ	SSI合作
進展：主従関係ではなく……？	进展：不单单是主从关系……？
告白：はい、病んでます	告白：是的，我病了
【病】新規雇用メイドを移籍メイド扱いへ変化させる	【病】将新雇佣女仆转变为移籍女仆
病的な程一途なメイドを	一个近乎病态的女仆
純真無垢なおにぎり作り	纯真无垢的手作饭团
テンションとか体温が同じなメイドたち	同温层的女仆们
龍虎激突	龙争虎斗
無垢純愛	单纯纯爱
真面目純愛	认真纯爱
凜デレ純愛	可靠纯爱
説教メイド	说教女仆
反論封印メイド	异议封印女仆
欲望開放メイド	欲望释放女仆
ご主人様式ダイエット……？	主人方式减肥……？
マゾご主人様へのご褒美	给主人的奖励
無愛想NTRルートHイベント1回目	冷淡NTR路线H事件第1次
無愛想NTRルートHイベント2回目	冷淡NTR路线H事件第2次
無愛想NTRルートHイベント3回目	冷淡NTR路线H事件第3次
無愛想NTRルートHイベント4回目	冷淡NTR路线H事件第4次
無愛想関係進展１	冷淡关系进展1
無愛想関係進展２	冷淡关系进展2
無愛想関係進展３	冷淡关系进展3
無愛想関係進展４	冷淡关系进展4
無愛想関係進展５	冷淡关系进展5
無愛想関係進展６	冷淡关系进展6
無愛想関係進展７	冷淡关系进展7
無愛想関係進展８	冷淡关系进展8
無愛想関係進展９	冷淡关系进展9
無愛想関係進展１０	冷淡关系进展1 0
無愛想関係進展１１	冷淡关系进展1 1
無愛想関係進展１２	冷淡关系进展1 2
無愛想関係進展１３	冷淡关系进展1 3
無愛想関係進展１４	冷淡关系进展1 4
大人の余裕を持つ、	有大人的余裕，
頼れる無愛想を	依赖的冷淡
無愛想メイン１	冷淡主菜 1
無愛想メイン２	冷淡主菜 2
無愛想メイン３	冷淡主菜 3
無愛想メイン４	冷淡主菜 4
無愛想メイン５	冷淡主菜 5
無愛想NTR１	冷淡NTR 1
無愛想NTR２	冷淡NTR 2
無愛想NTR３	冷淡NTR 3
無愛想NTR４	冷淡NTR 4
無愛想NTR５	冷淡NTR 5
無愛想NTR６	冷淡NTR 6
淫語実況メイド	淫语实况女仆
王女様メイド	公主女仆
隷属メイド	隶属女仆
抵抗メイド	抵抗女仆
お嬢様＿純愛１	小姐纯爱 1
お嬢様＿純愛２	小姐纯爱 2
お嬢様＿NTR１	大小姐NTR 1
お嬢様＿NTR２	大小姐NTR 2
お嬢様＿NTR３	大小姐NTR 3
お嬢様＿NTR４	大小姐NTR 4
お嬢様＿関係進展１	大小姐关系进展1
お嬢様＿関係進展２	大小姐关系进展2
お嬢様＿関係進展３	大小姐关系进展3
お嬢様＿関係進展４	大小姐关系进展4
お嬢様＿関係進展５	大小姐关系进展5
お嬢様＿関係進展６	大小姐关系进展6
お嬢様＿関係進展７	大小姐关系进展7
お嬢様＿関係進展８	大小姐关系进展8
お嬢様＿関係進展９	大小姐关系进展9
お嬢様＿関係進展１０	大小姐关系进展10
お嬢様＿関係進展１１	大小姐关系进展11
お嬢様＿関係進展１２	大小姐关系进展12
お嬢様＿関係進展１３	大小姐关系进展13
お嬢様＿関係進展１４	大小姐关系进展14
高飛車で生意気なお嬢様メイドを	高傲自大的大小姐女仆
お嬢様＿メインシナリオ１	大小姐主剧本1
お嬢様＿メインシナリオ２	大小姐主剧本2
お嬢様＿メインシナリオ３	大小姐主剧本3
お嬢様＿メインシナリオ４	大小姐主剧本4
お嬢様＿メインシナリオ５	大小姐主剧本5
お嬢様＿NTR５	大小姐NTR5
お嬢様＿NTR６	大小姐NTR6
真面目NTR5	认真NTR 5
凜デレNTR5	可靠NTR 5
無垢寝取り	单纯睡寝
真面目NTR	认真NTR
凜デレNTR	可靠NTR
生まれてく溢れてく　この想い止められなくて	无法停止这满溢而出的思念
それでも言い出せなくて	尽管如此还是说不出口
普通じゃない　理解できない	不普通无法理解
正しいのは　どの気持ちなの？	正确的是哪种心情？
呼吸のたび　問いかけるたび	每次呼吸的时候
また答えは遠くなる	答案又会变远
いつもだったら誰かのためと	总是为了某个人
自分のことは後にするのに	自己的事情以后再说
何よりも欲しくなる	变得比什么都想要
あなたの笑顔で胸はすぐに張り裂けそう	你的笑容让我的心马上裂开
心から愛しくなる　あなただけをずっと見てる	我会一直看着心爱的你
どうして　こんな私　らしくないって戸惑って	为什么你会迷惑自己不像这样
切なくてもどかしくて　この想い止められなくて	悲伤又焦躁无法停止这份思念
あなたのそばにいたくて	想在你身边
いつの日かきっと　あなたに好きだと	总有一天我一定会喜欢上你
真っ直ぐ伝える　私になりたい	想成为坦率地传达给你的我
らしくーないってとまどおてー	我在说“没有”
公園-キッチンカー無し	公园-没有厨房车
charaevent011・無垢その１	charaevent 011・单纯之1
charaevent011・真面目その１	charaevent 011・认真之1
charaevent011・凜デレその１	charaevent 011・可靠之1
charaevent011・無垢その２	charaevent 011・单纯之2
charaevent011・真面目その２	charaevent 011・认真之2
charaevent011・凜デレその２	charaevent 011・可靠之2
無垢純愛６	单纯纯爱6
真面目純愛６	认真纯爱6
凜デレ純愛６	可靠纯爱6
ARウィンドウ	AR窗口
ド変態な二人	变态的两个人
お詫びセックス	道歉做爱
一日甘やかしセックス	一天娇生惯养的性
休日はお任せ！	休息日就交给我吧！
エッチな事を教えて	教教我……色色的事情吧
脱インドアのすすめ	敞开心胸，踏出房门吧
見たいのは、君の表情	想看看妳的各种表情
欲しくてたまらない	把持不住的欲望
守ってきた最後の一線を……	连最后一道防线也……
歪んでいても	即使这关系一度扭曲
無口性格＿関係進展イベント１	沉默性格关系进展事件1
無口性格＿関係進展イベント２	沉默性格关系进展事件2
無口性格＿関係進展イベント３	沉默性格关系进展事件3
無口性格＿関係進展イベント４	沉默性格关系进展事件4
無口性格＿関係進展イベント５	沉默性格关系进展事件5
無口性格＿関係進展イベント６	沉默性格关系进展事件6
無口性格＿関係進展イベント７	沉默性格关系进展事件7
無口性格＿関係進展イベント８	沉默性格关系进展事件8
無口性格＿関係進展イベント９	沉默性格关系进展事件9
無口性格＿関係進展イベント１０	沉默性格关系进展事件10
無口性格＿関係進展イベント１１	沉默性格关系进展事件11
無口性格＿関係進展イベント１２	沉默性格关系进展事件12
無口性格＿関係進展イベント１３	沉默性格关系进展事件13
無口性格＿関係進展イベント１４	沉默性格关系进展事件14
無口性格＿メイン指名イベント	沉默性格主要指名事件
無口性格＿メインシナリオ１	沉默寡言性格主要剧本1
無口性格＿メインシナリオ２	沉默寡言性格主要剧本2
無口性格＿メインシナリオ３	沉默寡言性格主要剧本3
無口性格＿メインシナリオ４	沉默寡言性格主要剧本4
松下淳平という男	名叫松下淳平的男人
君の大切な恋人	妳那重要的恋人
友達として	以朋友的身分
リードお姉さんメイド	姐姐女仆·领导
M豚調教メイド	M猪仆·调教
M豚目隠しメイド	M猪女仆·蒙眼
甘やかしお姉さんメイド	姐姐女仆·溺爱
見下し詰りメイド	充满鄙视女仆
ちょっとMでもいいよね？	再Ｍ一点也无所谓吧？
お姉さんは管理したい	让姊姊来负责管理吧
おしとやかNTR１	端庄的NTR 1
おしとやかNTR２	端庄的NTR 2
おしとやかNTR３	端庄的NTR 3
おしとやかNTR４	端庄的NTR 4
おしとやか関係進展１	端庄的关系进展1
おしとやか関係進展２	端庄的关系进展2
おしとやか関係進展３	端庄的关系进展3
おしとやか関係進展４	端庄的关系进展4
おしとやか関係進展５	端庄的关系进展5
おしとやか関係進展６	端庄的关系进展6
おしとやか関係進展７	端庄的关系进展7
おしとやか関係進展８	端庄的关系进展8
おしとやか関係進展９	端庄的关系进展9
おしとやか関係進展１０	端庄的关系进展10
おしとやか関係進展１１	端庄的关系进展11
おしとやか関係進展１２	端庄的关系进展12
