イベントをスキップする	跳过事件
仁侠映画みたいなカッコいい啖呵	像仁义电影那样的帅气的大骂
インド映画みたいなダンス	像印度电影一样的舞蹈
俺が買ってあげよう	我给你买吧
俺もそれを買う	我也买那个
ふたりで使えるテーブルを探す	找一张两个人能用的桌子
お帰りなさいと言ってもらう	请人说请回去
料理を作ってもらう	请人做饭
うっかりお風呂ハプニング	不小心浴室发生了意外
ペット可の物件	可以宠物的物件
駅チカな物件	车站合适的房子
家の広さがほしい	想要房子的大小
二泊三日	三天两夜
一泊二日	两天一夜
好きなだけ	只是喜欢
[HF]ごと抱えてあげる	连同[HF]一起拥抱
これからはどんどん持ってあげるね	今后我会不断给你拿
俺が困ってたら、助けてくれる？	我有困难的话，能帮我吗？
俺も[HF]の匂いは好きだな	我也喜欢[HF]的味道啊
もしかして匂いフェチ？	难道是气味控？
なら、もっと洗濯物ためこんでおくね	那就多存点洗的衣服吧
それだけ当たり前ってことだね	那是理所当然的吧
もっと俺のことを考えてほしい	希望你能更多地考虑我
……実は、重たい女だったりする？	……实际上，你是个很重的女人吗？
俺も[HF]のとろけ顔は好き	我也喜欢[HF]的融化的脸
もっととろけさせて欲しいな	希望能让我更加融化
なら、いますぐとろけてあげる	那么，现在马上给你融化
いまから見せてほしいな	现在就让我看看吧
じゃあ、あとで試してみよう	那么，以后试一下吧
[HF]にも意外な一面があるんだね	[HF]也有意外的一面呢
この幸せを疑わない	不怀疑这个幸福
真実を確かめる（BADEND）	确认真相（BADEND）
エンパイアクラブに戻る	回到帝国俱乐部
それでも、私は……（BADEND）	尽管如此，我……（BADEND）
洋に制裁をする【NORMAL】	对洋进行制裁的【NORMAL】
ホテルへ向かう【BAD】	去酒店【BAD】
事情や意思を詳しく聞く【NORMAL】	详细询问情况和意思【NORMAL】
解雇を通達する【BAD】	通知解雇【BAD】
あのキスは、俺に何かを伝えたかったはずなんだ	那个吻，应该是想告诉我什么的
…………そう、都合は良くないよな	……是的，我不太方便
もう何も見たくない	已经什么都不想看了
悪夢の続きを見る	继续做恶梦
協力タイプのゲームが好きかな	喜欢合作类型的游戏吗
やっぱ対戦ゲームだよね	果然是对战游戏啊
エロゲーしかやらん	只玩工口游戏
当然だよね	那是当然的吧
立場上仕方ない時もあるから……	立场上也有不得已的时候……
常識なんて気にしない	不在乎常识
好きになったらしょうがない	喜欢上了也没办法
確かにそうだね	是啊，你说得对
細かい事は気にしない！	不在乎细节！
俺の恋人になりたい？	想成为我的恋人吗？
いちゃらぶエッチの方がいいかな？	还是色情比较好吧？
残念、俺は嫌な顔されながらの方が興奮するのだ	遗憾的是，我被讨厌的表情包围着反而更兴奋
和食をリクエスト	点日本菜
洋食をリクエスト	点西餐
中華をリクエスト	请求中华
エンパイアクラブを燃やそう！	燃烧帝国俱乐部吧！
俺も一緒の気持ちだよ	我也有同样的心情
他のメイドとはもう喋らない	已经不能和其他女仆说话了
めっちゃ可愛がる	非常可爱
詳細な設定を聞き出す	询问详细设置
リアルな猫の鳴き真似をして	模仿真实的猫的叫声
絶対に裏切ったりしないよ	绝对不会背叛你
女の連絡先、全部削除しようか……？	女人的联系方式，全部删除吧……？
女の子と連絡するぐらいいいじゃん……	和女孩子联系不是很好吗……
俺も包丁、好きだよ	我也喜欢菜刀
キャラづくりの一環……？	塑造角色的一环……？
包丁と包帯があれば完璧だね！	如果有菜刀和绷带就完美了！
真実を問いただす	追问真相
詳しくは聞かない、その代わり――	不详细听，取而代之的是——
さては、イタズラを……！？	那么，恶作剧……！？
でも、一緒にお食事デートぐらいいいじゃないか	但是，一起吃饭约会不是很好吗？
一緒に長生きしたいしね	想一起长寿啊
太ってたらモテないし	胖了就不受欢迎了
編み物に髪の毛を……	编织物和头发……
食べ物に自分の血を……	把自己的血给食物……
ご主人様人形を……	主人人偶……
手作りブレスレット	手工手镯
ご飯でも食べに行こうか	去吃饭吧
高価なアクセサリー	昂贵的饰品
好きな人と趣味を共有したいタイプ？	想和喜欢的人共享兴趣的类型？
大会では声をかけられなかった？	在大会上没能打招呼吗？
恋人と趣味は別々にしたいかな……	想和恋人的兴趣分开吗……
俺の方から出入り禁止と伝えておく	我告诉他禁止出入
メイド秘書に出入り禁止だと伝えてもらう	请女仆秘书传达禁止出入
さすがに処女の子は……	不愧是处女孩……
面白そうじゃん！	看起来很有趣嘛！
ここで満足だ	满足于此
最後まで見たい	想看到最后
俺も自分の恋人を抱かせたい	我也想拥抱自己的恋人
堂島勝を紹介する	介绍堂岛胜
佳乃と野田尻のプレイのみ見る	只看佳乃和野田尻的游戏
[HF]と堂島のプレイのみ見る	只看[HF]和堂岛的游戏
いや、両方のプレイを見る	不，看双方的比赛
か、かわいい？	可爱？
俺もエッチの時の表情は好きだよ	我也期待在侍寝的时间
今度からわざと変な顔をしよう	从现在试图故意滑稽的脸
別にメイドじゃなくても	这并不一定是一个女仆
お願いできるかな？	你能做到吗？
適当なメイドにやらせよう	努力做一个适当的女仆？
仕事のこと	类似的工作
きみのこと	喜欢你
エロいこと	色情
ガンガン責めたい	我想要激烈的责怪冲击
とにかく甘えたい	不管怎么说，宠我
責められる方が楽かな	也许你应该安慰我
そんなことないよ	有没有这样的事情
俺もできなかったよ	我不能这样做，要么
もうすこしがんばりましょう	我会尽我所能
俺は楽しい方がいいかな	我是个快乐的人
悲劇は好きだよ	我喜欢悲剧
バトル漫画が一番だと思う	我认为战斗漫画最好
Ｊ－ＰＯＰが好きだよ	我喜欢J-Pop
やっぱりクラシックかな	果然还是古典啊
アニソン、これ一択！	动漫歌曲，这一选择！
バラエティ番組だね	综艺节目啊
俺も旅番組かなぁ	我喜欢旅行节目
もちろんニュースだよ	当然是新闻啦
普通に野球かな	普通的棒球吗？
格闘技とかいいと思う	我认为格斗技不错
当然、夜のスポーツが一番……	当然，晚上的体育运动最……
コアラ、かなぁ	不知道
猫が好きだね	我喜欢猫
アノマロカリス	奇虾(古生代寒武纪海生肉食动物)
妥当なところで絵画は？	用适当的方法绘画？
生け花とかどうかな	插花什么的
アイドルになろう！	成为偶像吧！
やっぱり食欲の秋だよね	果然是秋天有食欲哟
読書の秋、かなぁ	秋天适合读书吧
もちろんスポーツの秋でしょ！	当然是运动的秋天吧！
強いて言えば洋食	硬要说的话是西餐
俺も和食かな	我喜欢和食
中華が一番！	中华最高!
かわいい子の方がいいよね	可爱的孩子比较好啊
大体同じかな	大概一样吧
おっぱい！　おっぱい！	奶子! 奶子!
アウトドア派だね	是户外派吧
同じくインドア派だよ	也就是室内派啊
女の子にインドアする派だ！	像女孩子的室内派啊!
無難に車を買うかなぁ	有条件的话我选择买车啊
豪華客船で旅をするとか	用豪华客轮旅行
ハーレムを作る！	让我开个后宫吧！
え、一人で行くよ？	嗯，一个人去吗？
君と二人で行くに決まってるだろ	和你两个人一起去的吧
ここの従業員たち全員と一緒に	这里的工作人员大家一起
かわいい女の子、かな	可爱的女孩，什么的
清楚で可憐で、気品があるね	整洁、可爱，有品格
エロい、すごくエロい	工口，很工口
料理の上手な女の子がいいな	擅长做饭的女孩子很好
自分のことを愛してくれる女性	懂得爱自己的女人
結婚なんてしたくないよ	我不想结婚
よくわからないな	不太明白
もちろん日本人だよ	当然是日本人啊
おっぱい星人かな	欧派星人
悪霊を祓って欲しい	希望恶灵退散
じゃあ守護霊とも話ができるの？	那么，我也能和守护灵说话？
巫女装束を着せるしかないだろ	要穿上巫女装束了
何でもいいよ	不管什么都好
君の作る煮物が食べてみたい	想吃你做的菜
君だよ	你
もう我慢できないよ	我再也忍不住了
そうだね、お酒を楽しもう	是的，我们一起享受品酒的快乐
じゃあ飲みながらここで……！	那么在此不醉不归……！
できる限り多く、だね	尽可能多
全ての愛を君に捧げるよ	把所有的爱奉献给你
みんな平等に、かなぁ	大家都平等的，好吗
い、一年後……とかかな	一年后……大概
気持ちとしては今でもいい	心情现在非常好
結婚とかまだ考えられない	还没有考虑结婚之类的
そりゃもう毎日だよ	那就已经是每天了
夜伽だけじゃ満足できない	侍寝也不能满足
まあ、二、三日に一回くらいかな	哦，这两三天大概一次吧
そんなこと起こるわけがない	没有发生那样的事
もちろん君を選ぶよ	当然选择了你
二人とも幸せにしてみせる！	两个人也要幸福给你看！
ち、痴漢プレイとかいいかも	我选择痴汉play
妹プレイがいいな	妹妹play好
ハーレムプレイがやってみたい！	我想尝试后宫play！
みんなの前で、っていうのはないかな	在大家的面前，说不出来吧
どんな時でも独り占めしたいって思う	无论什么时候都想独占
むしろみんなに分け与えたい！	倒不如说是想和大家一起去！
映画館に行ってみる	去电影院看一下
山奥の別荘地に遊びに行こう	去山里的别墅玩吧
遊園地とかどうだろう	游乐园啦怎样啊
恥ずかしそうに震えてる顔	害羞得颤抖的脸
イっちゃった時の恍惚とした顔	结束时恍惚的脸
失神した時のだらしない顔	失神时不检点的脸
臭すぎて捨てちゃった、とか？	太臭了扔掉了？
匂いを嗅いで楽しんでる、とか？	闻味道很开心，是吗？
食べちゃった、とか？	吃掉了，我猜？
特にないよ	没有什么特别的
もっとわがままを言って欲しい	想要说更多的话
歌って踊れるメイドになって欲しい	希望你能成为会唱歌跳舞的女仆
怒るところ、かなぁ	生气了，大概
そんなの喜と楽に決まってるだろ	那么高兴和快乐吧
悲しんでるところが見たい	我想看你悲伤的样子
いや、今のままでいいから	不，现在就可以了
気分に応じたキスがいいかな	根据自己的心情接吻比较好
アソコにしてくれるキスが一番！	让我亲一下小穴最好!
そっと手を握る	轻轻握着手
こういうレストランって緊張するよね	这样的餐厅很紧张呢
俺が緊張をほぐしてあげるよ……	我来缓解你的紧张感吧……
コーヒーを頼む	点咖啡
紅茶を頼む	点红茶
ここは思い切ってガッツリ食べ物を頼む	我下定决心一定要吃的
実はあんまり俺、お酒飲めないんだよね……	其实我不怎么能喝酒呢……
実はこれでも俺、掃除が好きでさ……	其实即使是这样我也喜欢打扫……
実は俺、これでも人見知りなんだ……	其实我，这样也很怕生……
海棠にご奉仕させる	为海棠服务
[HF]の処女を奪う	剥夺[HF]的处女
ダメだと首を振る	摇头说不行
なにも答えない	什么也不回答
生まれたままの姿に……	就这样出生的样子……
そのままの格好で……	就这样……
ウェディングドレスを着せる	穿结婚礼服
そのままの格好でする	照原样做
黒澄さんの提案を受け入れる	接受黑澄的提案
やっぱりそんなことは出来ない	果然做不到那样的事
咲羽の誘惑を受け入れる	接受咲羽的诱惑
咲羽の誘惑を断る	拒绝咲羽的诱惑
寝取り完了	睡眠结束
真実の愛（BADEND）	真爱（BADEND）
陰毛を生やす	长阴毛
そのまま	保持原样
陰毛を剃らせる	剃阴毛
[HF]を許し、淳平の申し出を断る【NORMAL】	原谅[HF]，拒绝淳平的请求【NORMAL】
[HF]と淳平の好きにさせる【BAD】	让[HF]和淳平喜欢的【BAD】
これ以上の悪夢は見たくない【NORMAL】	不想看到更多的噩梦【NORMAL】
沈黙を選ぶ【BAD】	选择沉默的【BAD】
攻守交替して責める	攻守交替责备
このまま詰られながら責めてもらう	就这样被责骂着
ああ、このままドS女王様に苛められたいな……	啊啊，真想就这样被抖S女王大人欺负啊……
ど、どうしたんだろう……	怎、怎么了……
メイドたちのこと？	是指女仆们吗？
お客様……えっちなおじさんとかかな？	客人……像是胖子大叔之类的吧？
乳首ピアスを強く奨める	强烈推荐乳头穿孔耳环
やめておく	搁下
クリピアスを強く奨める	强烈推荐栗子耳环
タトゥーを強く奨める	强烈推荐纹身
子供に関してはケジメをつける	关于孩子要分清界限
何も考えず、さらに快楽に溺れる	什么都不想，更加沉溺于快乐
『俺』は何も気づけなかった	“我”什么也没注意到
ケイを――	开凯——
[HF1]達のサポートを行う	进行[HF1]们的支持
[HF4]達のサポートを行う	进行[HF4]们的支持
経営関係かな	关于经营方面的吧
マンガかな	漫画吧
やっぱりエロ本でしょ	果然是色情书籍吧
ハードロックだ	重金属
アップテンポの曲だ	快歌
演歌だ	演歌
テレビは見たほうがいいかな	还是多少看些电视吧
確かにそうだ	这么说也是
やっぱり、ＡＶは見るべきだ	果然还是该看看AV
競馬だ	赛马
乗馬だ	骑马
木馬だ	木马
俺も犬かな	我也喜欢狗
実は鳥が好きなんだ	其实我喜欢鸟
俺は体育が良いな	我的话就还满喜欢体育的吧
やっぱり国語かな	果然还是国文吧
数学が好きなんだよね	我就还满喜欢数学的呢
洗濯物が楽なところ、とか？	象是衣服洗起来很轻松之类的吧？
外に出ると気持ちいいよね	特别适合出去玩呢
女の子が開放的になるところ！	女孩子们都会打扮得很清凉这点！！
肉ならなんでも	什么肉都ＯＫ吧
普通に、豚肉かな	没什么特别的，猪肉吧
胸肉が大好きだよ	最喜欢的当然是胸部的肉啦
専属メイドになればいい	成为专属女仆就好了
その時だけの恋人になればいい	那就学学该如何逢场作戏吧
俺を好きになればいい	只要喜欢我就好
俺の恋人になれば？	那不如就干脆跟我交往怎么样？
駆け落ちするとか？	跟对方一起私奔如何？
俺もショッピングだね	我也差不多是去逛街吧
外に出掛けてるよ	出门到处走走吧
部屋でごろごろしてるかな	在房里打发时间吧
君の為に使いたい	我会想花在妳身上
パーティーをする	举行派对
誰にもバレないように、貯金する	为了不让别人发现，把钱存起来
俺は日本国内がいい	我的话会比较想在日本国内看看吧
やっぱり海外かな	应该也是出国吧
俺は特にないよ	我倒没哪里特别想去啦
好きです	我喜欢你
ご主人様、愛してる	主人，我爱你(*^ω^*))
あなたの瞳に、乾杯	向妳的双瞳，干杯
お店をやってみたい	想开店试试看
今のままで満足だよ	能维持现况就很满足了
カメラマンになりたい！	想成为摄影师！
もっとエッチな人だっているよ。	也是有人比我还色啦。
普通だと思うけどな	我觉得我算还好吧
世界一を目指してる！	目标是成为世界第一！
が、頑張るよ	我、我尽力啦
任せてくれ	交给我吧
どうも出来ないと思う	我应该还是无能为力吧
美味しいほうがいいよね	好吃点会更好吧
ゆっくりやればいいよ	慢慢熟练起来就可以啦
がさつって思われるかも	毕竟总不能被当成男人婆
夜伽、好きじゃないの？	……侍寝就这么让妳不甘愿吗？
うん、楽しみだね	嗯，真是让人期待呢
もう我慢出来ないよ	已经忍不住啦
俺はおしとやかなほうが……	我对文静点的女孩比较……
そのままでいいよ	做妳自己就好了喔
君は喋らなかったら可愛いのにね	妳能闭上嘴的话可就可爱多了呢
したいと思ってる。心配しないで	我当然想结，这妳就别担心了
君の気持ちはわかってる。ずっとそばにいてほしい	你的心意我知道了，希望你一直能在我身边。
まあ、今はいいかな	嘛——再看看吧
毎日に決まってるだろ	当然是天天都要做啊
たまにできれば充分	偶尔做做就够了吧
仮にそうなっても、一時の気の迷いさ	那也不过只会是一时的鬼迷心窍罢了
そんな事起きないから、心配しないでよ	别担心啦，才不会有那种事
その時は……その時にならないとわからないよ	到时候啊……事情没发生的话就怎样都说不准吧
言いたい事はわかるけど、勝手に捨てるのは良くない	虽说我是懂妳的心情——但要丢之前至少也先问我一声
……わかった。俺には君だけだ	……我知道了，我的心只属于妳一个
……まあいいや。また買い直せばいいか	……算了没差，大不了重买吧
……どうしてもっていうなら、頑張るけど	……如果妳真的想豁出去，那我就只好舍命陪君子了
よし、じゃあここでしよう	好，要上就来吧
いやいや、やっぱりここでするのは無理だよ	不不不，果然在这里做还是太扯了
俺は遊園地に行きたいな	我想去游乐园
大型室内リゾートとかはどう？	大型室内游泳池如何？
それじゃ、映画館はどうかな	那么，去看看电影怎么样？
足を組み替える仕草かな	双脚交叉的动作要换一下吧
やっぱり、袖を引っ張られる、だね	果然，袖子被拉住了，是吧
上目遣いでお願いされる時とか	被请求眼睛朝上看时
まあ、嗅ぐのはいいけど……	这个嘛，要闻倒是无所谓……
……そんな事言われると、俺までドキドキしちゃうな	听到妳这么议题，我也有点心痒痒了呢
……正直引いたかも	……老实说有点恶心
うん、可愛いよ	嗯，很可爱
今のほうが可愛い	现在比较可爱
可愛くないかな	不可爱吗
全部かな	全部啊
気が強いのが、いいんだよ	要强么，很好
見た目かなぁ	外观吗
上手いほうが格好よくない？	擅长的话不是比较帅么?
そんなつもりは全然ないよ	完全没有这样的打算哦
どうだろうね？	会怎样呢
漫画とかラノベとかかなぁ？	漫画啊轻小说啊之类的？
普通に小説とか	普通的小说啦
官能小説	激情小说
うーん、子供っぽい	恩，孩子气吶
可愛いと思うよ	我觉得很可爱
エロい！	色情!
バラエティ番組かな	综艺节目呢
有名な映画	著名电影
ＡＶ！	ＡＶ!
球技かな	球赛嘛
俺も長距離走が好きなんだ	我也喜欢长跑
スポーツ自体、あまり好きじゃないな	就体育本身而言，我不是很喜欢
やっぱり犬だね	果然是狗啊
俺も、猫好きだけどね	我也是，很喜欢猫啊
コウモリが好きなんだよね、実は	我很喜欢蝙蝠啊，其实
身体動かすのが好きだし、体育かな	喜欢身体动，体育吗
やっぱり数学だな	果然是数学啊
俺は国語が好きだ	我喜欢国语
涼しい、秋が良いな	好凉快，秋天真好
やっぱり冬が一番だよね	果然冬天是最好的
俺は夏が好きかな	我喜欢夏天
レストランで食べる食事が良いね	在餐厅里吃饭真好啊
俺も、外で食べる軽食が好きだよ	我也喜欢在外面吃快餐小吃
一人で、部屋で食べるインスタント食品かな	一个人在房间里吃方便食品吗
何人かと付き合って、相性の良い人と結ばれたい	与几个人交往，想和性格最适合的人结婚，
一人の女性を、大切にしたい	我想好好珍惜，一个女孩
誰か一人に固執しないで、楽しく生きたい	谁都不想一个人坚持着，都想快乐的生活
恥ずかしいの？	害羞吗?
良かったら聞かせてよ	可以的话告诉我吧
アダルトショップか！	成人用品店啊!
俺も恋人が欲しい	我也想要恋人
立候補してもいい？	我可以当候选人吗?
いい人が見つかるよ	找到了不错的人选
ステンドグラスでも飾ってみる？	试着用彩色玻璃装饰一下?
ここの良さがあるから	这相当不错
淫靡な雰囲気になら	如果是淫靡的气氛
愛してるとかかな？	相爱的话会如何？
何も言わなくてもいいよ	什么都不用说了
エッチしよ	干♂吧
お酒美味しいなぁ	这酒挺好喝的
ちょっと楽しそうだね	似乎有点高兴啊
なんか怒ってる？	怎么生气了?
頼もしいね	可靠地
君らしいね	真像你
男らしいね	真爷们
いいや、怖くはないかな	不，并不可怕
やっぱり恐怖よりも、出来の方が気になる	果然和恐怖相比，我更在意要出来的东西。
……うん。実はすごく怖いんだよね	...恩， 其实真的很恐怖
簡単な洋食類なら、まあ得意かも	简单的西餐的话，还算擅长
やっぱり和食かな	果然还是日本料理啊
中華料理だよ	中华料理哟
……俺に何とかしてもらっていいの？	...我该做点什么好呢?
わ、わかった。その時はなんとかするよ	知、知道了 。那时候该做什么
俺には責任は取れないな……	我付不了责任啊...
薄っぺらだったか	何等肤浅
君がいないと生きていけないよ	没有你我无法生存
実は嘘だったんだ	其实是骗你的
できるだけたくさん子作りしたいね	可以的话我想多生点孩子
一人でいいかな？	一个人好么？
いや、いらないかな……	不，不需要...
その時はお願いするよ	那时候就拜托你了
じゃあ毎日しよう	那么每天都做吧
そうなの？　つまんないなぁ	那样吗？真无聊啊
泣いちゃうかも	或许会哭泣
絶対にいやだ	绝对不要
仕方ないよね	真没办法啊
出来たらそのまま	如果可以就那样吧
構わないよ	没关系哟
それは困る！	那真是苦恼!
するなら二人きりの方がいいな	做了的话两个人独处比较好
よし、しようか	好， 干吧
いやいや、冗談だよ。真に受けないで	不是不是，开玩笑的，别当真。
ビリヤード、ボーリング、カラオケ……とか？	保龄球，桌球，卡拉OK... 之类的?
やっぱり、俺も映画館かな	果然，我也喜欢电影院
自室にいるのが一番かなぁ	在自己的房间里是最好的啊
やっぱり、胸が揺れるところが好きかなぁ	果然，我就是喜欢乳摇啊~
服を畳むところが好き	我喜欢你叠衣服的时候
大股を開いて椅子に座るところ	我喜欢你张开大腿坐在椅子上的时候
大丈夫、そんな事ないよ	别担心，没有这回事
いや、俺も、君のベッドで寝たいって思った	不，我也想在你的床上睡
まあ、ちょっと無いかなって感じかな	我觉得不是这样的
明日の朝ご飯の事とか？	明天早饭的事情么?
君の事以外、考える事なんてないよ	除了你的事情以外，什么都没考虑
次は誰に夜伽してもらおうかな、って考えてる	在考虑下一个侍寝的是谁
まあ、責めたいかな	嘛，好像责备一下
やっぱり責められたいよね	果然是想被责备啊
いや、別にどっちもそんなに……	不，不是每个都那样...
さくらんぼのヘタなんて、結べないなぁ……	樱桃的蒂，绑不起来啊...
もちろん結べるよ	当然绑起来了
俺はそんな事、する必要ないから	我没必要做那种事情
三国志とか好きだな	三国志之类的很喜欢
意外に思えるけど宮澤賢治なんだ	虽然觉得意外，不过是宫泽贤治啊
そりゃ袋とじでしょっ	那是袋子没错吧
……クラシックとか	...古典音乐之类的
音楽じゃないんだ	这不是音乐
アニソン一択っ！	选择动漫歌曲!
あまりテレビはみないんだ	不怎么看电视
「潜入捜査２４時」とか	「潜入捜査２４时」之类的
実は海外ドラマとか好きなんだ	实际上喜欢海外电视剧之类的
ストレッチからとか	伸展运动之类的
人それぞれじゃないかな？	人不是各自不同的吗?
……個人競技とかは？	...个人竞技如何?
わんこ、いいよね	小狗真好
ネコ、いいよね	猫咪真好
ミニブタ、いいよね	迷你小猪真好
……美術とか好きだったな	...喜欢美术吶
