んっ！？　くっ、はぁ……苦し……ぃぞ、ご主人、様……っぁ、も、少し……緩め、て……んっ、っはぁっ、はぁ……	嗯！？呜、哈……痛苦……喂，主人，大人……嗯，但是，有一点……松、松……嗯，哈，哈……
んぐっ、んぁ……っはぁ、はぁ……ご主人、さま……加減を、間違えないで、っく……！　下手、したら……んんっ、私は……	嗯，嗯……哈哈，哈……主人，大人……不要弄错了，嗯……！差劲的话……嗯，我……
はっ、あぁ……頭、まっしろに、なって……目、チカチカ、して……くあぁ……うぁ、イく、逝く……イきそ……っ、んんっ……！	啊，啊……头，变白，变成……眼睛，力量，做……啊啊……嗯，好，逝世了……可恶……嗯，嗯……！
ひっ、んんっ！　苦しい、のに、気持ち良く、て……うぁっ、おかしく、ひぐっ……イく、っうぐ、逝かされ、ひぐっ、あぁ、う……ぁ……	嗯，嗯！明明很痛苦，但是心情却很好……哇，好奇怪，好可怕……嗯，嗯，逝世了，嗯，啊……啊……
んっく、うぅ……ご主人様が好きなら、我慢、するが……んんっ、手加減は、してくれると……ふっ、ぁ……嬉しいな……んっ、あぁっ！	嗯，嗯……如果喜欢主人的话，就忍耐一下……嗯，手下留情的话……哼，啊……好开心啊……嗯，啊！
くっ、う、あぁ……気持ちいい、のと、んっぅ、苦しい、ので……ふぁ、んっ、くぅっ……頭が変に、なりそう……だ……ぅあぁぁっ！	呜、呜、啊……好舒服啊，嗯，好痛苦啊，所以……嗯，嗯，嗯……头脑有点奇怪……是……啊啊啊啊！
くっう、あぁっ！　けほっ、うぐ……ふっ、ぁ……ご主人、様……ので、イく……ふっぁ、あぐっ、ひいっ、ひぃんんっ、くぅうっ！	呜，啊！喂，唔……哼，啊……主人，先生……所以……呼，啊呜，啊呜，嘻，嘻，呜！
っふぐ、ぁ、っぅう……やめてくれ、ご主人様……ぁう、っぐうぅ……今は、ただでさえ、身体がおかしいのにぃ……っ	嗯，嗯，嗯……住手，主人……啊，呃……现在，本来身体就很奇怪……嗯
ん、っふ、ぅうぐ……っ、ご主人様にされると、アソコが締まってしまうだけで、んぐぅう……っ、首を絞められて、感じているわけじゃないんだっ……	嗯，嗯，嗯……啊，被主人这样对待的话，那只会让那只鸭子紧闭起来，嗯……嗯，并不是被勒住脖子，感觉到的……
ぉぐぅう……っ！　こんなの、苦しいっ……苦しくないといけないんだ、っんぉ、ひぐうう！　気持ちよくなったら、いけないぃ……っ	唔……嘿！这样啊，好痛苦啊……不痛苦是不行的，嗯，呜哇！心情变好的话，就不行了……嗯
んはっ、ふぐぅう！　ぃぐっ、イくぅ！　んひぃいう！　私、こんなことでもイってしまうような、変態にぃ！　っひぎ、っふ、んぉぐうう！	嗯，呼呼！好，好！嗯，好！我要变成连这种事情都能做到的变态！哼，哼，哼！
ふぐぅうう……っ！　これ、苦しくてっ……何も考えられなくなって、ぁぐ、ふぅう……！　身体が気持ちよくなるの、堪えられなくなるんだ……っ	呜呜呜呜……嘿！这个很痛苦……什么都想不出来了，呜呜，呜呜……！身体变好了，变得无法忍受了……嗯
ご主人様、指が食い込んで、んぎっ、ぉごぅう……っ！　苦しくて、痛くてっ……アソコがもっと、気持ちよくしてほしくなるぅ！	主人，手指被夹住了，嗯，嗯……嘿！又痛苦又痛……希望她能更加心情舒畅！
ぉぐっ、ふぐぅう！　もっと、乱暴にされたい、滅茶苦茶にされたいんだ、っひぎ、ぉおぐうう！　身体が疼いて、普通にするだけじゃ足りないぃ！	哦，呜哇！想被更加粗暴地对待，想被弄得乱七八糟。身体疼痛，只是普通的做是不够的！
