;GP-01
メイド長	女仆长
また、寝取らせ夜伽ではお客様に寝取らせた後、どのように夜伽をされたかを報告する『寝取らせ報告』が発生します。	此外，在进行NTR PLAY，被客人睡了之后，也会发生向主人进行的侍寝报告，说明到底被怎样玩弄的『NTR報告』。
ダンスショー開催告知の表示変更を行います。	进行【舞会举行的提示】变更。
夜スケジュール実行時に表示される、ダンスショー開催告知のON/OFFの切り替えが行なえます。	在夜晚日程实行的时候会提示，进行【举行舞会的ON/OFF功能】的切换。
告知を表示する	提示通知
告知を非表示にする	不提示通知
ダンスショー開催告知の表示をONにしました。	打开【举行舞会】的提示。
クラブゲージを満たしている場合、夜スケジュール実行時にダンスショー開催告知が表示されます。	在俱乐部能量槽充满的状态下，实行夜晚日程的时候，会出现举行舞会的提示。
ダンスショー開催告知の表示をOFFにしました。	关闭【举行舞会】的提示。
以降、再度このイベントの選択肢『告知を表示する』を選択しない限り、クラブゲージを満たしていてもダンスショー開催告知は表示されません。	以后，只要不再次选择这个事件的【提示通知】，即使在俱乐部能量槽充满的情况下，也不会提示你举行舞会了。
モード選択	模式选择
従来のモードメイドのスケジュールを設定することで、仕事、育成、夜伽を行う事のできる従来のモード	在之前的模式下，可以设定女仆的日程表，可以进行工作，培育，侍寝等等
ライフモードメイド達が普段どのような風に生活、仕事をしているのかを見ることが出来るモード普段は見ることのできない一面や、メイド同士の珍しいやり取りが見れるかも？	在生活模式下，可以看到女仆们平常是怎样生活的，是怎样工作的。或许也可以看到平时看不到的一面和女仆之间难得的对话？

両目	双眼
左目	左眼
右目	右眼
頬のつや	脸颊光泽
白目の影	白眼的映影
顔の輪郭(丸)	脸的轮廓(圆)
顔の輪郭(尖)	脸的轮廓(尖)
眉の左右	眉的左右
眉の角度	眉的角度
眉の形状(内)	眉的形状(内)
眉の形状(外)	眉的形状(外)
鼻の位置	鼻的位置
鼻のサイズ	鼻的大小
耳の有無	是否有耳
エルフ耳	精灵耳朵
耳のサイズ	耳的大小
耳の角度	耳的角度
