ん、ちゅ……んく、ぅぅ……ほ、本当にこれが、ぁふ、ん、れぅ……普通の……奉仕なのか……？　んぐっ……んぅんっ……	嗯、ちゅ……嗯，嗯……真的，这个，啊，嗯，那个……普通的……是义务吗……？哼哼……嗯……
んぅ、っちゅぱ……急かさないでくれ、ご主人様……っれる、んちゅ……今は身体を抑えるのに、必死なんだ……	嗯，chiyupa……不要催我，主人……那么，早……现在为了控制身体，拼命的……
んむ、っちゅ、れるぅ……っ、このままだと、本当にダメになってしまう……んっちゅ、ちゅぷぅ……身体がどんどん、熱くなってくる……	恩，chu，kuruuu……啊，这样下去的话，真的不行了……小鸡鸡、小鸡鸡……身体越来越热……
れりゅ、っんちゅぅ……まだ、続けないといけないのか……？　んくっ、ちゅ、ぢゅるる……！　扱くたびに、頭が痺れてくるんだ……	蕾薇、小鸡鸡……还，必须继续吗……？哼、ちゅ、じゅるる……！每次使用，脑袋都麻木了……
こんなに、身体が欲しがってしまうなんて、んちゅっ、ぢゅるぅ……っ！　私の方が、間違っているのか……？　ぢゅぱ、っちゅ、んんちゅ……！	居然想要这样的身体，真是……啊！是我错了吗……？小鸟、ちゅ、んちゅ……！
私が自分から、しゃぶりたがっているわけじゃないんだ、っぢゅる、んっちゅ、ぢゅぱ！　ご主人様が、変なものを使うからだぞっ、んぢゅるる、じゅるぅ！	我并不是想自己去吃的，小咕，小咕，小咕！因为主人会使用奇怪的东西！
吸えば吸うほど、どろどろしたのが溢れてきて、んぢゅ、じゅるぅ！　こんなもので、幸せになってしまうなんてっ、ぢゅぷっ、ぢゅるる、んぢゅぅ！　	越吸越浓，泥巴就越溢出来，恩，纯！因为这样的东西，我才变得幸福，呜哇，呜哇，呜哇！　
ご主人様、もっと気持ちよくなってくれ、ぢゅぷ、っぢゅぱ、じゅるるぅ！　っち、違うぞ！　精液が欲しいのではなく、早く終わってほしいだけだっ、んじゅるるぅ！	主人，请变得更舒服。这边，不对！不是想要精液，只是希望早点结束，纯粹ruuu！
んむ、っぢゅぱ……！　奉仕なんだから、私まで気持ちよくさせることないだろう……っ、んちゅ、じゅるるっ、んちゅぅ……っ	嗯嗯、yupa……！因为是义务工作，所以连我都不会心情舒畅吧……嗯、chu、juru、chuu……啊
口が、こんなに熱いなんて、っぢゅぱ、んじゅるる……！　ぢゅぷ、んちゅ！　こんなの、抑えられるはずがない……っんちゅ、ぢゅるるぅ……！	嘴巴，这么热，纯粹，纯洁……！秀夫，秀！这样的，不可能压抑的……嗯，嗯，嗯……！
んぐっ、じゅるるっ、ぢゅぱぁ！　精液の匂いと、ご主人様の味だけで、頭の中からイってしまいそうだ、っんぢゅるる、ぢゅぷぅ！	哼哼，纯露，缩巴！只凭精液的味道和主人的味道，好像会从头脑中消失似的。
口の中まで、性器にさせられてしまった気分だ、んっぢゅぱ、じゅるる、んぢゅぅ！　ご主人様の精液を飲むまで、離せそうにない、っんぢゅ、じゅぶぅ！	口中，是被性器弄坏了的心情，nyupa，juru，nyuuu！在喝主人的精液之前，好像离不开似的，嗯，好！
奉仕だけで、こんなに気持ちよくなれるなんて教えられたら、っんぐ、じゅぷ、じゅるぅ！　これが、癖になってしまうだろうっ、んぢゅるるぅ！	如果仅仅是奉献，能告诉这么心情舒畅之类，哼，jupu，juruuu！这会成为习惯吧，嗯哼！
